epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.348,1.39629,2.02685,1.18947,1,0.30207,0.83085,0.45807,1.50312,2.70465,1.17262,0.000469224,0.000469224,0.000469224
2,41.1022,1.2994,0.87012,1.18034,0.98488,0.98728,0.99134,0.5276,1.57909,1.05194,1.47587,0.000936196,0.000936196,0.000936196
3,55.6625,1.24253,0.75583,1.17649,0.99504,0.99379,0.99371,0.61265,1.41742,0.73879,1.39714,0.00139374,0.00139374,0.00139374
4,70.216,1.23957,0.72426,1.19445,0.99458,0.99306,0.99418,0.63551,1.30331,0.69177,1.34404,0.00138656,0.00138656,0.00138656
5,84.7715,1.24118,0.69401,1.19732,0.99717,0.99829,0.99342,0.63333,1.35511,0.59156,1.37799,0.00137241,0.00137241,0.00137241
6,99.3978,1.22711,0.65302,1.19856,0.99551,0.99506,0.99381,0.58779,1.55933,0.60107,1.51857,0.00135826,0.00135826,0.00135826
7,113.998,1.22096,0.63868,1.19047,0.99826,0.99837,0.99436,0.63892,1.39701,0.56107,1.42345,0.00134412,0.00134412,0.00134412
8,128.627,1.21155,0.61061,1.1926,0.99812,0.99834,0.99453,0.63361,1.34976,0.49903,1.38765,0.00132997,0.00132997,0.00132997
9,143.293,1.23474,0.60213,1.20509,0.99434,0.99826,0.99401,0.63666,1.41086,0.5489,1.481,0.00131582,0.00131582,0.00131582
10,157.978,1.20744,0.58989,1.19351,0.99467,0.98842,0.99404,0.64233,1.27054,0.51755,1.35943,0.00130168,0.00130168,0.00130168
11,172.631,1.19029,0.58142,1.19056,0.99498,0.9964,0.99363,0.63382,1.44553,0.51547,1.49776,0.00128753,0.00128753,0.00128753
12,187.246,1.1813,0.56684,1.17753,0.9973,0.99538,0.99401,0.64035,1.28981,0.50745,1.38337,0.00127338,0.00127338,0.00127338
13,201.862,1.15756,0.54623,1.16587,0.99488,0.99251,0.99258,0.63053,1.47249,0.51375,1.53673,0.00125923,0.00125923,0.00125923
14,216.441,1.16942,0.53759,1.18182,0.99768,0.99682,0.99342,0.64318,1.37539,0.50967,1.46004,0.00124509,0.00124509,0.00124509
15,231.045,1.16473,0.53065,1.17519,0.99781,0.99538,0.99448,0.65848,1.29865,0.4632,1.38331,0.00123094,0.00123094,0.00123094
16,245.736,1.15299,0.51491,1.17432,0.99826,0.99767,0.99469,0.62535,1.36252,0.46476,1.42789,0.00121679,0.00121679,0.00121679
